materials backflow_percent inlet_D angle inlet_V Density Viscosity
0 31.532406 0.8 0.2793 500.0 0.00106 0.004
1 29.615511 0.8 0.2793 466.8 0.00106 0.004
2 27.299256 0.8 0.2793 433.6 0.00106 0.004
3 24.786892 0.8 0.2793 400.4 0.00106 0.004
4 21.38203 0.8 0.2793 367.2000000000001 0.00106 0.004
5 17.225257 0.8 0.2793 334.0 0.00106 0.004
6 12.774881 0.8 0.2793 300.8 0.00106 0.004
7 8.7469743 0.8 0.2793 267.6 0.00106 0.004
8 5.2217123 0.8 0.2793 234.4 0.00106 0.004
9 0.89161699 0.8 0.2793 201.2 0.00106 0.004
10 0.0 0.8 0.2793 168.0 0.00106 0.004
11 0.0 0.8 0.2793 134.8 0.00106 0.004
12 0.0 0.8 0.2793 101.6 0.00106 0.004
13 0.0 0.8 0.2793 68.4 0.00106 0.004
14 43.313265 0.8 0.3491 500.0 0.00106 0.004
15 42.439991 0.8 0.3491 466.8 0.00106 0.004
16 41.060435 0.8 0.3491 433.6 0.00106 0.004
17 39.69763 0.8 0.3491 400.4 0.00106 0.004
18 37.649914 0.8 0.3491 367.2000000000001 0.00106 0.004
19 34.951895 0.8 0.3491 334.0 0.00106 0.004
20 30.768854 0.8 0.3491 300.8 0.00106 0.004
21 24.947495 0.8 0.3491 267.6 0.00106 0.004
22 17.81795 0.8 0.3491 234.4 0.00106 0.004
23 10.721298 0.8 0.3491 201.2 0.00106 0.004
24 4.4522725 0.8 0.3491 168.0 0.00106 0.004
25 0.0 0.8 0.3491 134.8 0.00106 0.004
26 0.0 0.8 0.3491 101.6 0.00106 0.004
27 0.0 0.8 0.3491 68.4 0.00106 0.004
28 51.467299 0.8 0.4189 500.0 0.00106 0.004
29 50.713324 0.8 0.4189 466.8 0.00106 0.004
30 49.97872 0.8 0.4189 433.6 0.00106 0.004
31 49.030145 0.8 0.4189 400.4 0.00106 0.004
32 47.8452 0.8 0.4189 367.2000000000001 0.00106 0.004
33 46.250191 0.8 0.4189 334.0 0.00106 0.004
34 43.994779 0.8 0.4189 300.8 0.00106 0.004
35 40.559917 0.8 0.4189 267.6 0.00106 0.004
36 34.511046 0.8 0.4189 234.4 0.00106 0.004
37 24.77024 0.8 0.4189 201.2 0.00106 0.004
38 14.216652 0.8 0.4189 168.0 0.00106 0.004
39 4.2381115 0.8 0.4189 134.8 0.00106 0.004
40 0.0 0.8 0.4189 101.6 0.00106 0.004
41 0.0 0.8 0.4189 68.4 0.00106 0.004
42 57.76827 0.8 0.4887 500.0 0.00106 0.004
43 57.267974 0.8 0.4887 466.8 0.00106 0.004
44 56.62692 0.8 0.4887 433.6 0.00106 0.004
45 55.957792 0.8 0.4887 400.4 0.00106 0.004
46 55.010688 0.8 0.4887 367.2000000000001 0.00106 0.004
47 53.862174 0.8 0.4887 334.0 0.00106 0.004
48 52.390848 0.8 0.4887 300.8 0.00106 0.004
49 50.279668 0.8 0.4887 267.6 0.00106 0.004
50 46.959604 0.8 0.4887 234.4 0.00106 0.004
51 40.817429 0.8 0.4887 201.2 0.00106 0.004
52 27.550823 0.8 0.4887 168.0 0.00106 0.004
53 13.347158 0.8 0.4887 134.8 0.00106 0.004
