Pipe D	Elbow angle	Mesh size	Mesh max size	Density	Viscosity	Inlet V	Inlet P	Pipe L/D	Pipe R	Pipe L	p0	p1	Del P/L
0.021	1.0	0.00105	0.00105	998.0	0.0009737	0.011	101325.0	10.0	0.0105	0.21	101325.0	101324.84	0.77962398
0.055	9.0	0.00275	0.00275	998.0	0.0009737	0.011	101325.0	10.0	0.0275	0.55	101325.0	101324.93	0.12539223
0.049	13.0	0.00245	0.00245	998.0	0.0009737	0.02	101325.0	10.0	0.0245	0.49	101325.0	101324.85	0.31596343
0.022	20.0	0.0011	0.0011	998.0	0.0009737	0.02	101325.0	10.0	0.011	0.22	101325.0	101324.66	1.548262
0.084	47.0	0.0042	0.0042	998.0	0.0009737	0.02	101325.0	10.0	0.042	0.84	101325.0	101324.81	0.22665419
0.01	48.0	0.0005	0.0005	998.0	0.0009737	0.006	101325.0	10.0	0.005	0.1	101325.0	101324.79	2.1042648
0.079	49.0	0.00395	0.00395	998.0	0.0009737	0.006	101325.0	10.0	0.0395	0.79	101325.0	101324.96	0.049643078
0.013	50.0	0.00065	0.00065	998.0	0.0009737	0.005	101325.0	10.0	0.0065	0.13	101325.0	101324.86	1.0513706
0.032	53.0	0.0016	0.0016	998.0	0.0009737	0.025	101325.0	10.0	0.016	0.32	101325.0	101324.5	1.5713076
0.053	57.0	0.00265	0.00265	998.0	0.0009737	0.01	101325.0	10.0	0.0265	0.53	101325.0	101324.89	0.20413389
0.1	71.0	0.005	0.005	998.0	0.0009737	0.011	101325.0	10.0	0.05	1.0	101325.0	101324.91	0.092338423
0.054	83.0	0.0027	0.0027	998.0	0.0009737	0.021	101325.0	10.0	0.027	0.54	101325.0	101324.67	0.62038283
0.014	84.0	0.0007	0.0007	998.0	0.0009737	0.006	101325.0	10.0	0.007	0.14	101325.0	101324.83	1.2336624
0.083	84.0	0.00415	0.00415	998.0	0.0009737	0.006	101325.0	10.0	0.0415	0.83	101325.0	101324.95	0.054440061
0.069	92.0	0.00345	0.00345	998.0	0.0009737	0.007	101325.0	10.0	0.0345	0.69	101325.0	101324.94	0.091553684
0.014	93.0	0.0007	0.0007	998.0	0.0009737	0.013	101325.0	10.0	0.007	0.14	101325.0	101324.55	3.1905766
0.075	99.0	0.00375	0.00375	998.0	0.0009737	0.006	101325.0	10.0	0.0375	0.75	101325.0	101324.95	0.065200976
0.067	106.0	0.00335	0.00335	998.0	0.0009737	0.025	101325.0	10.0	0.0335	0.67	101325.0	101324.62	0.56094855
0.038	111.0	0.0019	0.0019	998.0	0.0009737	0.013	101325.0	10.0	0.019	0.38	101325.0	101324.78	0.56709911
0.075	112.0	0.00375	0.00375	998.0	0.0009737	0.021	101325.0	10.0	0.0375	0.75	101325.0	101324.73	0.36515745
0.027	129.0	0.00135	0.00135	998.0	0.0009737	0.018	101325.0	10.0	0.0135	0.27	101325.0	101324.57	1.5852126
0.021	131.0	0.00105	0.00105	998.0	0.0009737	0.008	101325.0	10.0	0.0105	0.21	101325.0	101324.81	0.9067224
0.067	153.0	0.00335	0.00335	998.0	0.0009737	0.022	101325.0	10.0	0.0335	0.67	101325.0	101324.66	0.50116911
0.064	159.0	0.0032	0.0032	998.0	0.0009737	0.008	101325.0	10.0	0.032	0.64	101325.0	101324.91	0.13620762
0.097	180.0	0.00485	0.00485	998.0	0.0009737	0.011	101325.0	10.0	0.0485	0.97	101325.0	101324.89	0.11003728
